id,code,name
ob120,28,"(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London"
ob121,30,"(GMT) Monrovia, Reykjavik"
ob122,72,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
ob123,53,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
ob124,14,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb"
ob125,71,(GMT+01:00) West Central Africa
ob126,83,(GMT+02:00) Amman
ob127,84,(GMT+02:00) Beirut
ob128,24,(GMT+02:00) Cairo
ob129,61,"(GMT+02:00) Harare, Pretoria"
ob130,27,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius"
ob131,35,(GMT+02:00) Jerusalem
ob132,21,(GMT+02:00) Minsk
ob133,86,(GMT+02:00) Windhoek
ob134,31,"(GMT+03:00) Athens, Istanbul, Minsk"
ob135,2,(GMT+03:00) Baghdad
ob136,49,"(GMT+03:00) Kuwait, Riyadh"
ob137,54,"(GMT+03:00) Moscow, St. Petersburg, Volgograd"
ob138,19,(GMT+03:00) Nairobi
ob139,87,(GMT+03:00) Tbilisi
ob140,34,(GMT+03:30) Tehran
ob141,1,"(GMT+04:00) Abu Dhabi, Muscat"
ob142,88,(GMT+04:00) Baku
ob143,9,"(GMT+04:00) Baku, Tbilisi, Yerevan"
ob144,89,(GMT+04:00) Port Louis
ob145,47,(GMT+04:30) Kabul
ob146,25,(GMT+05:00) Ekaterinburg
ob147,90,"(GMT+05:00) Islamabad, Karachi"
ob148,73,"(GMT+05:00) Islamabad, Karachi, Tashkent"
ob149,33,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi"
ob150,62,(GMT+05:30) Sri Jayawardenepura
ob151,91,(GMT+05:45) Kathmandu
ob152,42,"(GMT+06:00) Almaty, Novosibirsk"
ob153,12,"(GMT+06:00) Astana, Dhaka"
ob154,41,(GMT+06:30) Rangoon
ob155,59,"(GMT+07:00) Bangkok, Hanoi, Jakarta"
ob156,50,(GMT+07:00) Krasnoyarsk
ob157,17,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi"
ob158,46,"(GMT+08:00) Irkutsk, Ulaan Bataar"
ob159,60,"(GMT+08:00) Kuala Lumpur, Singapore"
ob160,70,(GMT+08:00) Perth
ob161,63,(GMT+08:00) Taipei
ob162,65,"(GMT+09:00) Osaka, Sapporo, Tokyo"
ob163,77,(GMT+09:00) Seoul
ob164,75,(GMT+09:00) Yakutsk
ob165,10,(GMT+09:30) Adelaide
ob166,4,(GMT+09:30) Darwin
ob167,20,(GMT+10:00) Brisbane
ob168,5,"(GMT+10:00) Canberra, Melbourne, Sydney"
ob169,74,"(GMT+10:00) Guam, Port Moresby"
ob170,64,(GMT+10:00) Hobart
ob171,69,(GMT+10:00) Vladivostok
ob172,15,"(GMT+11:00) Magadan, Solomon Is., New Caledonia"
ob173,44,"(GMT+12:00) Auckland, Wellington"
ob174,26,"(GMT+12:00) Fiji, Kamchatka, Marshall Is."
ob175,6,(GMT-01:00) Azores
ob176,8,(GMT-01:00) Cape Verde Is.
ob177,39,"(GMT-02:00) Mid-Atlantic"""
ob178,22,(GMT-03:00) Brasilia
ob179,94,(GMT-03:00) Buenos Aires
ob180,55,"(GMT-03:00) Buenos Aires, Georgetown"
ob181,29,(GMT-03:00) Greenland
ob182,95,(GMT-03:00) Montevideo
ob183,45,(GMT-03:30) Newfoundland
ob184,3,(GMT-04:00) Atlantic Time (Canada)
ob185,57,"(GMT-04:00) Georgetown, La Paz, San Juan"
ob186,96,(GMT-04:00) Manaus
ob187,51,(GMT-04:00) Santiago
ob188,76,(GMT-04:30) Caracas
ob189,56,"(GMT-05:00) Bogota, Lima, Quito"
ob190,23,(GMT-05:00) Eastern Time (US & Canada)
ob191,67,(GMT-05:00) Indiana (East)
ob192,11,(GMT-06:00) Central America
ob193,16,(GMT-06:00) Central Time (US & Canada)
ob194,37,"(GMT-06:00) Guadalajara, Mexico City, Monterrey"
ob195,7,(GMT-06:00) Saskatchewan
ob196,68,(GMT-07:00) Arizona
ob197,38,"(GMT-07:00) Chihuahua, La Paz, Mazatlan"
ob198,40,(GMT-07:00) Mountain Time (US & Canada)
ob199,52,(GMT-08:00) Pacific Time (US & Canada)
ob200,104,"(GMT-08:00) Tijuana, Baja California"
ob201,48,(GMT-09:00) Alaska
ob202,32,(GMT-10:00) Hawaii
ob203,58,"(GMT-11:00) Midway Island, Samoa"
ob204,18,(GMT-12:00) International Date Line West
ob205,105,(GMT-4:00) Eastern Daylight Time (US & Canada)
ob206,13,"GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague"
